norad_id,object_name,date,daily_median_altitude_km
25544,ISS (ZARYA),2018-02-13 00:00:00+00:00,404.80098178205935
25544,ISS (ZARYA),2018-02-14 00:00:00+00:00,404.7880306644861
25544,ISS (ZARYA),2018-02-15 00:00:00+00:00,404.78125834110506
25544,ISS (ZARYA),2018-02-16 00:00:00+00:00,404.77364513581915
25544,ISS (ZARYA),2018-02-17 00:00:00+00:00,404.7626203550881
25544,ISS (ZARYA),2018-02-18 00:00:00+00:00,404.7386971234064
25544,ISS (ZARYA),2018-02-19 00:00:00+00:00,404.72127128858256
25544,ISS (ZARYA),2018-02-20 00:00:00+00:00,404.6946861181659
25544,ISS (ZARYA),2018-02-21 00:00:00+00:00,404.6803272705165
25544,ISS (ZARYA),2018-02-22 00:00:00+00:00,404.66932760107875
25544,ISS (ZARYA),2018-02-23 00:00:00+00:00,404.65471866825237
25544,ISS (ZARYA),2018-02-24 00:00:00+00:00,404.6398930474543
25544,ISS (ZARYA),2018-02-25 00:00:00+00:00,404.62324324012206
25544,ISS (ZARYA),2018-02-26 00:00:00+00:00,404.6043299375033
25544,ISS (ZARYA),2018-02-27 00:00:00+00:00,404.5934062197339
25544,ISS (ZARYA),2018-02-28 00:00:00+00:00,404.5809274315816
25544,ISS (ZARYA),2018-03-01 00:00:00+00:00,404.5711530507742
25544,ISS (ZARYA),2018-03-02 00:00:00+00:00,404.5567861316763
25544,ISS (ZARYA),2018-03-03 00:00:00+00:00,404.5427858719554
25544,ISS (ZARYA),2018-03-04 00:00:00+00:00,404.53242974372733
25544,ISS (ZARYA),2018-03-05 00:00:00+00:00,404.5178608242036
25544,ISS (ZARYA),2018-03-06 00:00:00+00:00,404.50457793262467
25544,ISS (ZARYA),2018-03-07 00:00:00+00:00,404.4932531238892
25544,ISS (ZARYA),2018-03-08 00:00:00+00:00,404.4807413397716
25544,ISS (ZARYA),2018-03-09 00:00:00+00:00,404.46605923181323
25544,ISS (ZARYA),2018-03-10 00:00:00+00:00,404.45404506815703
25544,ISS (ZARYA),2018-03-11 00:00:00+00:00,404.4427612007594
25544,ISS (ZARYA),2018-03-12 00:00:00+00:00,404.4229399956539
25544,ISS (ZARYA),2018-03-13 00:00:00+00:00,404.40808509671206
25544,ISS (ZARYA),2018-03-14 00:00:00+00:00,404.70971134426145
25544,ISS (ZARYA),2018-03-15 00:00:00+00:00,404.79320411937533
25544,ISS (ZARYA),2018-03-16 00:00:00+00:00,404.7834624357938
25544,ISS (ZARYA),2018-03-17 00:00:00+00:00,404.76520996690397
25544,ISS (ZARYA),2018-03-18 00:00:00+00:00,404.74435347813414
25544,ISS (ZARYA),2018-03-19 00:00:00+00:00,404.7292087649903
25544,ISS (ZARYA),2018-03-20 00:00:00+00:00,404.7184663992066
25544,ISS (ZARYA),2018-03-21 00:00:00+00:00,404.70538765525816
25544,ISS (ZARYA),2018-03-22 00:00:00+00:00,404.6919103593209
25544,ISS (ZARYA),2018-03-23 00:00:00+00:00,404.6863704885227
25544,ISS (ZARYA),2018-03-24 00:00:00+00:00,404.6769696097099
25544,ISS (ZARYA),2018-03-25 00:00:00+00:00,404.7108868302157
25544,ISS (ZARYA),2018-03-26 00:00:00+00:00,404.6961060042904
25544,ISS (ZARYA),2018-03-27 00:00:00+00:00,404.67266924950945
25544,ISS (ZARYA),2018-03-28 00:00:00+00:00,404.65069329328617
25544,ISS (ZARYA),2018-03-29 00:00:00+00:00,404.6149292816999
25544,ISS (ZARYA),2018-03-30 00:00:00+00:00,404.5636320825997
25544,ISS (ZARYA),2018-03-31 00:00:00+00:00,404.55171204538055
25544,ISS (ZARYA),2018-04-01 00:00:00+00:00,404.54193049672176
25544,ISS (ZARYA),2018-04-02 00:00:00+00:00,404.53492166929664
25544,ISS (ZARYA),2018-04-03 00:00:00+00:00,404.52159360034693
25544,ISS (ZARYA),2018-04-04 00:00:00+00:00,404.50527764371964
25544,ISS (ZARYA),2018-04-05 00:00:00+00:00,404.4870794139488
25544,ISS (ZARYA),2018-04-06 00:00:00+00:00,404.46669346965245
25544,ISS (ZARYA),2018-04-07 00:00:00+00:00,404.45350247500573
25544,ISS (ZARYA),2018-04-08 00:00:00+00:00,404.44016898736936
25544,ISS (ZARYA),2018-04-09 00:00:00+00:00,404.420554362061
25544,ISS (ZARYA),2018-04-10 00:00:00+00:00,404.39746619713515
25544,ISS (ZARYA),2018-04-11 00:00:00+00:00,404.37594630952754
25544,ISS (ZARYA),2018-04-12 00:00:00+00:00,404.35015584092616
25544,ISS (ZARYA),2018-04-13 00:00:00+00:00,404.3111898607958
25544,ISS (ZARYA),2018-04-14 00:00:00+00:00,404.29585701453107
25544,ISS (ZARYA),2018-04-15 00:00:00+00:00,404.2909826974146
25544,ISS (ZARYA),2018-04-16 00:00:00+00:00,404.28039334278856
25544,ISS (ZARYA),2018-04-17 00:00:00+00:00,404.2715029714818
25544,ISS (ZARYA),2018-04-18 00:00:00+00:00,404.63196455383513
25544,ISS (ZARYA),2018-04-19 00:00:00+00:00,404.66684427992095
25544,ISS (ZARYA),2018-04-20 00:00:00+00:00,404.6678742686381
25544,ISS (ZARYA),2018-04-21 00:00:00+00:00,404.6594161525272
25544,ISS (ZARYA),2018-04-22 00:00:00+00:00,404.6407600914645
25544,ISS (ZARYA),2018-04-23 00:00:00+00:00,404.62005876400144
25544,ISS (ZARYA),2018-04-24 00:00:00+00:00,404.60154262966535
25544,ISS (ZARYA),2018-04-25 00:00:00+00:00,404.5908560496209
25544,ISS (ZARYA),2018-04-26 00:00:00+00:00,404.5815224198086
25544,ISS (ZARYA),2018-04-27 00:00:00+00:00,404.56589564452315
25544,ISS (ZARYA),2018-04-28 00:00:00+00:00,404.5514880178657
25544,ISS (ZARYA),2018-04-29 00:00:00+00:00,404.54391182481777
25544,ISS (ZARYA),2018-04-30 00:00:00+00:00,404.5323322772765
25544,ISS (ZARYA),2018-05-01 00:00:00+00:00,404.5189373045414
25544,ISS (ZARYA),2018-05-02 00:00:00+00:00,404.5084168858475
25544,ISS (ZARYA),2018-05-03 00:00:00+00:00,404.497260806128
25544,ISS (ZARYA),2018-05-04 00:00:00+00:00,404.48613386583565
25544,ISS (ZARYA),2018-05-05 00:00:00+00:00,404.47006541704195
25544,ISS (ZARYA),2018-05-06 00:00:00+00:00,404.4490715487591
25544,ISS (ZARYA),2018-05-07 00:00:00+00:00,404.42273052530345
25544,ISS (ZARYA),2018-05-08 00:00:00+00:00,404.3934397471794
25544,ISS (ZARYA),2018-05-09 00:00:00+00:00,404.3653682602617
25544,ISS (ZARYA),2018-05-10 00:00:00+00:00,404.34918561207087
25544,ISS (ZARYA),2018-05-11 00:00:00+00:00,404.33567662962923
25544,ISS (ZARYA),2018-05-12 00:00:00+00:00,404.32644715442984
25544,ISS (ZARYA),2018-05-13 00:00:00+00:00,404.848351075309
25544,ISS (ZARYA),2018-05-14 00:00:00+00:00,404.888277571471
25544,ISS (ZARYA),2018-05-15 00:00:00+00:00,404.88730278587764
25544,ISS (ZARYA),2018-05-16 00:00:00+00:00,404.8780088737449
25544,ISS (ZARYA),2018-05-17 00:00:00+00:00,404.86517669228397
25544,ISS (ZARYA),2018-05-18 00:00:00+00:00,404.8588028163399
25544,ISS (ZARYA),2018-05-19 00:00:00+00:00,404.84311770375325
25544,ISS (ZARYA),2018-05-20 00:00:00+00:00,404.82741231319415
25544,ISS (ZARYA),2018-05-21 00:00:00+00:00,404.82260978420754
25544,ISS (ZARYA),2018-05-22 00:00:00+00:00,404.7836884063754
25544,ISS (ZARYA),2018-05-23 00:00:00+00:00,404.808103318278
25544,ISS (ZARYA),2018-05-24 00:00:00+00:00,404.7469449736632
25544,ISS (ZARYA),2018-05-25 00:00:00+00:00,404.7860869863198
25544,ISS (ZARYA),2018-05-26 00:00:00+00:00,404.77824099050986
25544,ISS (ZARYA),2018-05-27 00:00:00+00:00,404.76996729392613
25544,ISS (ZARYA),2018-05-28 00:00:00+00:00,404.7565115007683
